sphere,code,method,equalMethods,samplingType,so_short_name,measurementInterval,measurementIntervalUnit,measurementsPerYear,minimumSamplePerSite,maximumSamplePerSite,purchasePrice,purchasePriceUnit,installationEffort,installationEffortUnit,upgradeInterval,upgradeIntervalUnit,maintenancePrice,maintenancePriceUnit,maintenanceEffort,maintenanceEffortUnit,samplingPrice,samplingPriceUnit,samplingEffort,samplingEffortUnit,samplingPersonnel,labAnalysisPrice,labAnalysisPriceUnit,processingRawDataEffort,processingRawDataEffortUnit,processingRawDataPersonnel,operationEffortCode,totalHumanLabor,so,soBundles,protocol,sensorType,methodsNotes,installationNotes,operationNotes
Atmosphere,SOATM_176,prime,FALSE,sensor,Eddy covariance (SOATM_176),0.1,second,315576000,1,1,60000,euro,2,day,7,year,2000,euro,20,day/year,0,euro,0,day/year,,0,euro,10,day/year,,2,32,"CO2 flux and concentration, Latent heat flux, Sensible heat flux - Eddy Covariance","CO2 flux and concentration, Latent heat flux, Sensible heat flux",ICOS,"eddy covariance (3D sonic anemometer and Gas analyzer, data acquisition etc)",,,
Atmosphere,SOBIO_015,prime,TRUE,retrieval,Phenological traits (Remote Sensing) (SOBIO_015),2,week,26.08928571428572,1,,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,1,0.1,Vegetation phenology and Leaf Area Index – European scale,"phenological traits (including start, maximum, end of season), LAI",Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/; Protocols described in e.g. https://land.copernicus.eu/user-corner/technical-library/product-user-manual-of-seasonal-trajectories/; alternatively PhenoCam Network,"several optical remote sensing derived indexes (including NDVI, LAI etc.). Sentinel 2/MSI by Copernicus currently the most promising one",,,
Atmosphere,SOBIO_016,prime,FALSE,sensor,Phenological traits (on-site) (SOBIO_016),6,hour,1461,1,,1200,euro,0.2,day,5,year,100,euro,0.1,day/year,0,euro,0,day/year,,0,euro,0.5,day/year,,1,0.8,Vegetation phenology – site scale,"phenological traits (including start, maximum, end of season)","PhenoCam Network; also ICOS (in progress), should be more than one image per day to consider unfair weather conditions",Phenocam,,,
Atmosphere,SOBIO_023,prime,TRUE,mixed,Forest - Aboveground biomass (SOBIO_023),3,year,0.3333333333333333,1,1,100,euro,1,day,20,year,100,euro,0.5,day/year,100,euro,0.5,day/year,,0,euro,0.5,day/year,,1,2.5,Vegetation aboveground biomass - forest (site scale),annual aboveground vegetation biomass,"ICP Forest, EFI",forest inventory,,,"operationEffortCode: 1,2"
Atmosphere,SOBIO_024,prime,FALSE,sensor,Non-forest - Aboveground biomass (SOBIO_024),1,week,52.17857142857143,,,,euro,,day,,year,,euro,,day/year,,euro,,day/year,,,euro,,day/year,,,,Vegetation aboveground biomass – non-forested sites,Aboveground biomass – non-forested sites,"Murphy, D.J., O’Brien, B., Hennessy, D., Hurley, M. and Murphy, M.D., 2021. Evaluation of the precision of the rising plate meter for measuring compressed sward height on heterogeneous grassland swards. Precision Agriculture, 22(3), pp.922-946.",eletronic grassland platemeter,,purchasePrice: under discussion,
Atmosphere,SOBIO_025,prime,FALSE,sensor,Forest - LAI (SOBIO_025),1,year,1,1,1,6000,euro,0.1,day,10,year,1000,euro,0.25,day/year,0,euro,1,day/year,,0,euro,1,day/year,,1,2.35,Leaf area index - forests (site scale),Leaf area index - forests,"ICOS, ICP F","forests: digital hemispherical photography if seasonal max LAI (Green Area index) is max. < 6 m²/m², linear ceptometry if seasonal max LAI (Green Area index) is max. > 6 m²/m²",,,
Atmosphere,SOBIO_026,prime,,sensor,Non-forest - LAI (SOBIO_026),1,year,1,1,1,20000,euro,1,day,10,year,1000,euro,0.25,day/year,0,euro,0,day/year,,0,euro,1,day/year,,1,2.25,Leaf area index – non-forested sites,Leaf area index – non-forested sites,ICOS,linear ceptometry,,,
Atmosphere,SOBIO_090,prime,FALSE,retrieval,Gross primary production (SOBIO_090),30,minute,17532,1,1,0,euro,0,day,7,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,1,day/year,,2,1,Gross primary production,GPP calculated vom EddyCovariance measurement,ICOS,derived from NEE (EC),,,
Atmosphere,SOBIO_091,prime,FALSE,sensor,Transpiration (SOBIO_091),10,minute,52596,1,1,7000,euro,0.7,day,3,year,1000,euro,0.5,day/year,0,euro,0,day/year,,0,euro,1,day/year,,2,2.2,Transpiration (plants),Transpiration (plants),"proprietory manuals, sensor specific; not well established protocols",Sap flow in forests; Sap flow meters (see https://treewatch.net/); sapflow sensors (heat pulse velocity / heat ratio method); https://sapfluxnet.creaf.cat/,,,
Atmosphere,SOBIO_092,prime,TRUE,sample,Forests - Litterfall (SOBIO_092),1,month,12,1,1,500,euro,0.5,day,5,year,50,euro,0.1,day/year,0,euro,1.5,day/year,,50,euro,8,day/year,,1,10.1,Aboveground litterfall - forests,Aboveground litterfall - forests,"ICP Forests, ICOS",Sampling nets,,,
Atmosphere,SOBIO_093,prime,FALSE,sample,Belowground biomass (SOBIO_093),1,year,1,1,1,50,euro,4,day,20,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0.1,day/year,,1,4.1,Belowground biomass - terrestrial,Belowground biomass - terrestrial,Literature,campaign and allometric equations,,,
Atmosphere,SOBIO_095,prime,FALSE,sample,Leaf - Elements (SOBIO_095),2,year,0.5,1,1,0,euro,0,day,5,year,50,euro,0.1,day/year,0,euro,7,day/year,,2500,euro,0.5,day/year,,1,7.6,"Leaf C, N, K, P, Ca, Mg, Mn content - terrestrial",Leaf elements bundle -terrestrial,"ICP Forests, ICP IM",lab analysis of leaf samples; leaf sampling,,,
Atmosphere,SOBIO_140,prime,FALSE,retrieval,Vegetation - LiDAR (SOBIO_140),3,year,0.3333333333333333,1,1,0,euro,0,day,0,year,0,euro,0,day/year,0,euro,0,day/year,,0,euro,0,day/year,,0,0,Vegetation structure - site scale,Vegetation structure,ICOS,Terrestrial LiDAR,,,
Atmosphere,SOBIO_177,prime,FALSE,sensor,Tree growth (SOBIO_177),1,hour,8766,10,10,250,euro,1,day,5,year,250,euro,0.5,day/year,0,euro,0,day/year,,0,euro,1,day/year,,2,2.5,Tree growth,tree growth,"ICOS, TreeNet",automated point dendrometers or band dendrometers,,,
Biosphere,SOBIO_014,basic,FALSE,sample,Flying - insects (SOBIO_014),2,week,10.92857,1,1,500,euro,0.2,day,1,year,0,euro,0.5,day/year,150,euro,0.25,day/year,,100,euro,0,day/year,,1,0.95,Flying insects,Flying insects,Lifeplan; SPRING,Malaise traps (biomass and DNA metabarcoding),measurementInterval: from Mid April to Mid September,,
Biosphere,SOBIO_017,basic,FALSE,sample,Vegetation - composition (SOBIO_017),5,year,0.2,3,3,60,euro,0.25,day,10,year,0,euro,0,day/year,0,euro,0.4,day/year,,0,euro,0.2,day/year,,2,0.8500000000000001,Vegetation composition (mainly species abundance),Ground vegetation,national/site specific protocol,national/site specific protocol; exisiting protocols should be continued (legacy),,,
Biosphere,SOBIO_018,basic,TRUE,sensor,Acoustic recording (SOBIO_018),10,minute,30816,1,3,700,euro,0.2,day,3,year,0,euro,0.5,day/year,0,euro,0.5,day/year,,0,euro,0,day/year,,1,1.2,"Birds, bats, frogs, insects using acoustic recording","Birds, bats, (frogs, insects)",Lifeplan,Audiomoth set for bats and all other taxa groups,"measurementInterval: weekly or biweekly (changing memory cards); automated measurements: daily, every 10 mins for 1 min (Lifeplan protocol) March 1st - September 30th",,
Biosphere,SOBIO_021,basic,FALSE,sample,eDNA Water (SOBIO_021),1,year,1,1,1,0,euro,0,day,0,year,0,euro,0,day/year,50,euro,0.25,day/year,,100,euro,0,day/year,,1,0.25,eDNA water,eDNA Water,eLTER RA protocol,eLTER eDNA water sampling kit,,,
Biosphere,SOBIO_022,basic,FALSE,sample,eDNA soil  (SOBIO_022),1,year,1,1,1,0,euro,0,day,0,year,0,euro,0,day/year,50,euro,0.25,day/year,,100,euro,0,day/year,,1,0.25,eDNA soil,eDNA soil,SOILBON protocol,SOILBON sampling kit,,,
Biosphere,SOBIO_096,basic,FALSE,sample,Surface water - clorophyll (SOBIO_096),1,month,12,1,1,200,euro,0,day,10,year,0,euro,0,day/year,0,euro,0.1,day/year,,50,euro,0.3,day/year,,2,0.4,"Chlorophyll a (benthic, pelagic) - standing, running waters","Chlorophyll a (benthic, pelagic) - standing, running waters","WFD, MSFD, for running water only if required by the WFD",Manual sampling and lab analysis,,,
Biosphere,SOHYD_172,basic,FALSE,sample,Running water - P/N (SOHYD_172),1,month,12,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,1,day/year,,45,euro,0,day/year,,2,1,"Nutrient concentration: TP, SRP, TDN, NO3 - running waters","TP, SRP, TDN, NO3,",WFD; ICP Water,Laboratory analysis; only during vegetation period,,,
Biosphere,SOHYD_173,basic,FALSE,sample,Standing water - Profiles P/N (SOHYD_173),1,month,12,1,1,0,euro,0,day,0,year,100,euro,0,day/year,0,euro,1,day/year,,135,euro,0,day/year,,2,1,"Profiles of nutrient concentration: TP, SRP, TDN, NO3, - standing waters","TP, SRP, TDN, NO3,",WFD; ICP Water,Laboratory analysis; only during vegetation period,,,
